다타, 185, 91
파사, 156, 88
가다, 164, 62
사가, 178, 96
아자, 159, 81
마하, 182, 78
라다, 192, 98
라아, 154, 92
차카, 176, 66
바바, 165, 66
아자, 153, 99
사타, 170, 63
마다, 168, 66
라타, 165, 95
타차, 151, 89
다차, 174, 73
라다, 191, 85
자파, 171, 65
파카, 189, 53
타나, 168, 70
카사, 191, 80
라아, 187, 72
타가, 156, 86
마마, 193, 90
차하, 192, 69
가아, 194, 56
하차, 165, 56
타아, 196, 98
타아, 160, 76
마카, 159, 56
아파, 178, 50
아하, 167, 84
아바, 184, 69
하나, 189, 63
사파, 159, 57
가마, 194, 66
아파, 180, 61
다바, 162, 83
파바, 156, 79
나파, 179, 70
하마, 184, 85
나파, 178, 93
사나, 199, 91
아카, 166, 61
바나, 169, 64
바차, 153, 65
나자, 158, 70
아자, 185, 71
하차, 151, 69
바사, 195, 92
카아, 184, 94
파사, 188, 51
하다, 166, 62
바바, 175, 63
라타, 197, 54
마나, 197, 93
가마, 166, 69
하카, 177, 62
사라, 185, 68
파라, 177, 68
바자, 171, 90
나자, 191, 76
하파, 164, 99
하카, 186, 64
아마, 157, 58
자사, 184, 53
하사, 193, 93
라아, 155, 84
타아, 150, 51
마나, 162, 82
가라, 173, 64
가바, 178, 97
가차, 173, 51
자아, 158, 72
카다, 174, 58
차파, 188, 52
라타, 199, 92
아다, 189, 60
차타, 166, 73
아하, 180, 72
다차, 195, 58
다자, 162, 81
타하, 173, 94
자카, 154, 75
다타, 154, 64
자바, 195, 82
차마, 189, 73
나사, 190, 93
나파, 160, 81
카가, 167, 56
마차, 168, 74
타카, 174, 51
마타, 170, 75
다가, 169, 87
파차, 185, 87
카타, 195, 85
사바, 154, 50
차사, 161, 95
가차, 170, 67
다사, 160, 59
나바, 155, 85
다하, 156, 77
다라, 197, 58
라파, 174, 92
아가, 172, 57
나마, 192, 53
파아, 186, 73
나사, 154, 52
다자, 154, 65
차가, 173, 60
가타, 156, 57
사차, 180, 79
가다, 152, 80
카하, 193, 59
사나, 165, 60
가하, 177, 98
다다, 163, 51
라아, 165, 73
다파, 182, 60
자나, 162, 91
가라, 182, 86
하라, 153, 64
바라, 186, 77
라하, 163, 84
하라, 199, 78
바라, 159, 96
하카, 190, 82
타라, 168, 88
나나, 181, 82
가차, 161, 97
사차, 174, 58
하카, 194, 61
카바, 171, 51
사타, 191, 62
다하, 156, 84
바나, 168, 74
아파, 164, 56
타바, 188, 96
바카, 186, 73
하가, 189, 51
가하, 167, 82
바바, 162, 78
사아, 198, 85
마파, 191, 60
가자, 173, 72
가타, 171, 55
나바, 188, 97
가하, 188, 51
사마, 150, 85
나차, 172, 98
파차, 185, 91
마마, 151, 64
카사, 197, 91
사다, 173, 82
타라, 159, 67
가파, 177, 91
라사, 150, 98
카자, 150, 68
바바, 182, 99
아사, 185, 90
사다, 166, 85
마다, 184, 93
파가, 159, 82
라사, 150, 84
차사, 173, 80
마차, 192, 61
사파, 160, 97
카바, 151, 52
라마, 197, 84
차자, 176, 50
라바, 181, 98
하마, 170, 58
차자, 157, 73
가마, 180, 89
마차, 184, 94
마타, 192, 81
라마, 194, 66
아라, 150, 83
자다, 196, 60
자다, 176, 78
바바, 158, 71
라하, 170, 77
파가, 177, 82
타자, 160, 99
라파, 181, 81
사타, 179, 52
타바, 162, 75
나라, 195, 57
파아, 199, 96
차사, 173, 88
사하, 194, 89
나카, 152, 78
차마, 180, 66
다타, 191, 50
아타, 166, 58
라사, 187, 54
카마, 166, 62
사파, 180, 63
바나, 155, 86
카타, 164, 76
바파, 198, 74
하자, 164, 98
카파, 175, 74
가나, 171, 92
바카, 165, 70
자가, 190, 89
파바, 168, 55
하바, 151, 92
가아, 191, 93
다파, 192, 90
마차, 155, 71
가타, 190, 86
사가, 190, 66
다파, 163, 57
카나, 166, 92
다나, 193, 55
하가, 154, 78
바다, 173, 80
라바, 190, 92
마카, 193, 83
자하, 159, 50
아카, 179, 64
사아, 195, 93
하가, 171, 72
다파, 195, 78
다다, 162, 80
바사, 189, 75
바자, 193, 73
마자, 171, 53
하카, 181, 56
차카, 153, 78
하카, 196, 60
자라, 197, 68
바차, 189, 97
아다, 159, 55
나하, 161, 89
나가, 190, 65
카사, 188, 79
나파, 193, 94
다자, 172, 56
다다, 194, 56
파가, 178, 77
타마, 176, 81
자차, 174, 64
파가, 161, 57
마파, 172, 91
차하, 186, 93
파마, 192, 51
카사, 195, 96
자타, 169, 64
파나, 182, 66
사카, 187, 94
나카, 176, 50
자차, 161, 91
아자, 193, 73
자가, 163, 87
라카, 184, 64
나아, 182, 83
바자, 152, 92
자자, 158, 86
아타, 152, 73
하차, 155, 87
파차, 193, 58
파나, 196, 99
카아, 180, 66
다자, 183, 52
사라, 181, 90
자사, 164, 95
카아, 174, 81
자나, 189, 59
가자, 181, 57
나차, 168, 51
마다, 197, 79
가나, 157, 89
차아, 192, 57
나가, 192, 68
아하, 172, 53
나마, 152, 71
다아, 176, 65
마카, 162, 73
라나, 156, 82
가마, 154, 97
타카, 192, 70
사가, 168, 53
하타, 155, 98
자파, 173, 83
마자, 169, 53
하하, 160, 96
파사, 177, 70
사마, 184, 53
다마, 199, 82
카나, 176, 98
파나, 165, 71
사라, 180, 57
바타, 171, 57
가라, 172, 50
다차, 155, 97
가카, 199, 96
가하, 181, 93
아자, 163, 97
마차, 180, 92
바가, 181, 79
아자, 170, 90
타카, 186, 88
다자, 161, 83
사카, 156, 55
가다, 167, 72
가나, 185, 79
나마, 196, 78
사다, 193, 96
카카, 165, 79
바타, 185, 60
아카, 174, 66
라하, 188, 69
가아, 187, 72
다다, 160, 90
파다, 185, 65
하타, 187, 75
카파, 167, 86
가사, 198, 94
가자, 177, 72
자바, 182, 90
마바, 177, 69
아바, 165, 59
다하, 175, 74
자다, 188, 85
사차, 182, 78
가자, 174, 66
가다, 173, 50
파라, 180, 66
마자, 153, 93
라바, 194, 54
라하, 179, 69
자가, 161, 74
마마, 199, 54
자파, 199, 51
가카, 160, 81
차사, 194, 97
사파, 151, 79
카다, 189, 87
아마, 159, 94
라자, 186, 61
마차, 187, 88
카타, 193, 59
자가, 199, 54
사가, 172, 87
파카, 195, 69
마다, 198, 94
다타, 168, 78
차아, 172, 96
하바, 197, 91
차차, 182, 92
자타, 190, 65
차사, 174, 58
하라, 176, 87
아파, 178, 95
아바, 186, 76
마카, 166, 98
나자, 177, 78
나파, 180, 78
바가, 161, 76
파타, 188, 74
파마, 182, 87
가카, 162, 78
차마, 185, 98
자마, 181, 78
차라, 170, 59
사하, 180, 76
하하, 159, 88
나사, 170, 90
바자, 185, 57
타카, 190, 93
차차, 166, 56
자라, 188, 74
마타, 155, 67
파타, 170, 76
사가, 165, 60
파마, 177, 63
카차, 174, 59
나다, 191, 66
아타, 178, 90
자가, 156, 59
다하, 157, 75
타파, 171, 82
차카, 159, 97
라다, 183, 92
라사, 187, 94
바가, 176, 89
파하, 175, 83
파자, 152, 59
타자, 170, 51
하파, 199, 50
다카, 168, 54
라하, 181, 51
하파, 150, 59
카바, 198, 71
가차, 162, 73
하사, 185, 68
다카, 199, 74
자라, 199, 89
가바, 190, 74
파다, 169, 88
가차, 153, 73
하아, 191, 69
나아, 187, 76
다아, 180, 50
타바, 198, 79
마사, 186, 60
사하, 153, 54
사마, 175, 51
마사, 177, 87
가차, 178, 91
자아, 182, 91
카마, 166, 67
파하, 164, 62
사파, 193, 78
다사, 164, 61
나카, 168, 95
하카, 186, 95
바다, 186, 93
아가, 189, 88
마마, 180, 62
가가, 150, 59
차다, 174, 96
가라, 164, 74
카나, 171, 88
바가, 157, 98
차가, 181, 66
차다, 154, 81
사라, 196, 79
라아, 198, 60
가파, 198, 70
차라, 191, 50
라바, 181, 88
타사, 164, 66
카하, 169, 96
가바, 188, 71
라나, 194, 73
나카, 189, 65
가마, 162, 78
바하, 182, 90
자다, 171, 76
자차, 185, 64
차하, 187, 59
다다, 173, 81
가사, 180, 56
바사, 175, 86
아하, 183, 50
자사, 186, 87
차파, 175, 96
카아, 157, 63
다타, 163, 91
나타, 191, 70
다카, 183, 85
가타, 152, 50
바다, 192, 85
파다, 164, 94
파바, 185, 97
다가, 170, 81
가카, 175, 89
사나, 171, 91
타마, 151, 70
차자, 154, 65
다라, 166, 60
가다, 163, 50
가사, 183, 67
타나, 186, 82
나나, 192, 50
하다, 191, 67
